0.003902,0.007346,0.013667,0.023203,0.043205,0.046247,0.076388,0.108635,0.120645,0.139027,0.176455,
0.003845,0.005623,0.013852,0.024077,0.035328,0.041836,0.053888,0.079162,0.113257,0.135426,0.161934,
0.003799,0.009570,0.015666,0.025338,0.038680,0.064938,0.076081,0.102391,0.113004,0.129372,0.190418,
0.003842,0.009560,0.023479,0.024999,0.041779,0.052781,0.071354,0.097039,0.111334,0.119642,0.167599,
0.000000,0.007085,0.024804,0.033354,0.047890,0.051758,0.074510,0.087790,0.117710,0.147611,0.157615,
0.000000,0.010732,0.018824,0.028330,0.042291,0.053038,0.076688,0.102544,0.112708,0.147361,0.175520,
0.003792,0.006973,0.013825,0.026311,0.042974,0.057087,0.081318,0.109618,0.109511,0.142704,0.171994,
0.003857,0.009474,0.020983,0.029601,0.042724,0.058717,0.062319,0.101512,0.112401,0.135483,0.181980,
0.003922,0.014993,0.016735,0.029534,0.047094,0.054026,0.073199,0.109515,0.123037,0.157314,0.164399,
0.003846,0.009558,0.018765,0.037263,0.043269,0.056095,0.068995,0.086295,0.109960,0.127345,0.178830,
