0.000013,51,0.000011,51,0.000015,201,0.000068,801,0.000287,3101,0.002208,12401,0.018218,49551,0.138546,198151,1.154042,792601,10.653294,3170351,74.629731,12681601,
0.000013,51,0.000012,51,0.000015,201,0.000045,801,0.000268,3101,0.002147,12401,0.017285,49551,0.137912,198151,1.177139,792601,9.072667,3170351,72.830377,12681601,
0.000012,51,0.000011,51,0.000015,201,0.000045,801,0.000275,3101,0.002174,12401,0.017339,49551,0.138173,198151,1.135092,792601,9.106097,3170351,73.807233,12681601,
0.000012,51,0.000012,51,0.000016,201,0.000045,801,0.000309,3101,0.002060,12401,0.017080,49551,0.137451,198151,1.136492,792601,9.050885,3170351,73.805495,12681601,
0.000012,51,0.000012,51,0.000015,201,0.000046,801,0.000275,3101,0.002102,12401,0.017230,49551,0.137890,198151,1.143905,792601,9.232643,3170351,74.098454,12681601,
0.000011,51,0.000012,51,0.000016,201,0.000045,801,0.000275,3101,0.002108,12401,0.017325,49551,0.137569,198151,1.138944,792601,9.408521,3170351,73.202972,12681601,
0.000011,51,0.000012,51,0.000016,201,0.000046,801,0.000268,3101,0.002170,12401,0.017149,49551,0.137427,198151,1.137418,792601,9.111976,3170351,72.738392,12681601,
0.000012,51,0.000012,51,0.000015,201,0.000046,801,0.000280,3101,0.002156,12401,0.016978,49551,0.136290,198151,1.137343,792601,9.095313,3170351,72.858035,12681601,
0.000013,51,0.000012,51,0.000015,201,0.000046,801,0.000274,3101,0.002185,12401,0.017168,49551,0.138620,198151,1.130841,792601,9.090686,3170351,73.726255,12681601,
0.000012,51,0.000010,51,0.000016,201,0.000046,801,0.000268,3101,0.002189,12401,0.016915,49551,0.137247,198151,1.132961,792601,9.077647,3170351,73.348984,12681601,
