0.000062,1,0.000527,43,0.004289,188,0.044889,768,0.177369,3088,0.772154,12373,2.902240,49520,11.575980,198122,46.827577,792553,191.752709,3170329,805.383367,12681552,
0.000062,1,0.000546,43,0.003899,188,0.040477,768,0.176438,3088,0.724513,12373,2.955974,49520,11.592818,198122,46.831440,792553,191.845562,3170329,806.209361,12681552,
0.000064,1,0.000569,43,0.003923,188,0.040662,768,0.178210,3088,0.720975,12373,2.891143,49520,11.558870,198122,46.813418,792553,200.457548,3170329,811.748093,12681552,
0.000063,1,0.000526,43,0.003882,188,0.041810,768,0.182178,3088,0.715386,12373,2.948483,49520,11.581846,198122,46.809477,792553,191.576173,3170329,803.968350,12681552,
0.000063,1,0.000549,43,0.003871,188,0.040590,768,0.182871,3088,0.712428,12373,2.881793,49520,11.580229,198122,46.788727,792553,191.636137,3170329,805.031993,12681552,
0.000064,1,0.000530,43,0.003897,188,0.041765,768,0.197749,3088,0.909545,12373,3.276835,49520,12.110421,198122,47.447274,792553,192.504814,3170329,805.973444,12681552,
0.000063,1,0.000528,43,0.003884,188,0.040555,768,0.182608,3088,0.713264,12373,2.880894,49520,11.568228,198122,46.794957,792553,191.623607,3170329,804.700137,12681552,
0.000063,1,0.000526,43,0.003886,188,0.041795,768,0.182687,3088,0.714663,12373,2.881720,49520,11.568653,198122,46.793218,792553,191.635734,3170329,804.664797,12681552,
0.000063,1,0.000530,43,0.003890,188,0.040565,768,0.182813,3088,0.712996,12373,2.880998,49520,11.568384,198122,46.791817,792553,191.641767,3170329,804.666952,12681552,
0.000063,1,0.000527,43,0.003885,188,0.040555,768,0.182766,3088,0.713024,12373,2.881012,49520,11.568478,198122,46.791833,792553,191.639847,3170329,804.667839,12681552,
