0.165032,1.691753,3.610931,7.343293,15.614062,26.006494,37.556410,58.971953,80.212777,106.863668,151.737050,
0.154853,1.497651,3.476121,7.445431,15.658048,25.582765,37.375918,59.234963,79.956034,107.239157,151.747100,
0.154527,1.518305,3.519091,7.314431,15.563042,25.710133,37.089218,59.093708,80.097097,107.087765,152.002510,
0.172593,1.543707,3.510668,7.393460,15.964823,25.956242,37.005318,59.210248,80.258069,106.788057,152.441951,
0.154814,1.498734,3.452074,7.267800,15.803135,25.795191,37.260911,59.463146,80.831200,106.534437,151.072899,
0.154221,1.522897,3.580772,7.420943,15.693966,25.813551,37.096417,59.259472,80.932882,107.231709,151.448629,
0.164431,1.536937,3.602443,7.345826,15.552860,25.835559,37.325720,59.400689,80.024688,107.143930,152.098194,
0.155877,1.505350,3.471979,7.312494,15.623301,25.539453,37.454272,59.383875,81.618056,107.051520,151.676320,
0.160599,1.499978,3.544687,7.404170,15.642419,25.679671,37.568509,59.232761,80.640286,106.652300,151.625946,
0.155112,1.517289,3.591541,7.388090,15.695919,25.632435,37.596456,59.188279,80.483503,106.827025,151.671347,
