0.271346,2.001463,4.322208,8.315194,16.085470,24.410648,35.199672,54.043297,71.891050,93.280085,128.135644,
0.250503,1.986873,4.315232,8.135964,15.996972,24.293799,35.136581,54.015029,71.859104,93.519892,128.138454,
0.243358,1.975986,4.309866,8.172316,15.967575,24.420123,35.134898,54.351528,71.866154,93.350193,128.187587,
0.255796,1.973435,4.309903,8.181080,16.000250,24.356125,35.169473,54.036974,71.999450,93.412000,128.144109,
0.248767,1.968867,4.319742,8.188813,15.978348,24.436011,35.216553,54.068132,71.838295,93.406778,128.084163,
0.247005,1.975336,4.307820,8.170145,15.962744,24.339300,35.091699,54.052120,71.878489,93.520771,128.051313,
0.247645,1.971445,4.308243,8.194238,16.013786,24.323741,35.192809,54.059654,71.895519,93.263837,128.198549,
0.249227,1.981890,4.315687,8.183349,16.014469,24.366413,35.163425,53.924250,71.968321,93.402749,128.331605,
0.245800,2.002298,4.310880,8.171099,15.980403,24.358257,35.213012,54.060044,71.944031,93.390165,128.332805,
0.247457,1.979548,4.315010,8.168963,15.990672,24.374097,35.172215,54.013365,71.926730,93.323940,128.030748,




















